s0,s10,s90,s90d,red_flag
42,31,13,3,0
87,74,96,4,0
106,72,144,15,0
102,69,71,14,0
90,60,56,16,0
123,81,120,26,0
95,74,59,6,0
21,16,6,4,0
25,22,3,2,0
89,81,75,9,0
36,19,15,0,0
109,68,103,13,0
95,74,97,10,0
103,79,89,9,0
91,71,70,13,0
83,66,70,7,0
115,68,91,9,0
35,25,11,2,0
98,97,181,25,0
103,59,72,11,0
86,62,67,5,0
102,73,84,13,0
32,22,6,0,0
37,27,17,1,0
100,61,100,22,0
102,77,133,19,0
39,27,9,0,0
92,72,89,14,0
97,59,98,13,0
32,22,8,1,0
99,49,15,1,0
112,71,132,14,0
84,68,66,10,0
32,28,11,3,0
93,57,29,6,0
99,69,80,12,0
45,34,10,3,0
89,75,82,7,0
103,73,88,11,0
78,76,71,14,0
99,68,72,18,0
111,69,119,12,0
96,68,57,5,0
86,72,94,13,0
96,71,62,7,0
98,68,63,8,0
94,66,76,5,0
28,26,5,0,0
106,68,83,7,0
42,31,14,2,0
91,69,69,8,0
104,71,106,22,0
95,64,117,11,0
104,88,140,14,0
96,70,61,8,0
92,60,69,7,0
107,73,90,18,0
40,40,5,0,0
76,58,50,6,0
30,23,8,1,0
57,25,13,0,0
103,86,131,17,0
86,63,71,9,0
101,62,98,7,0
102,78,77,3,0
118,81,130,13,0
37,27,5,0,0
13,16,9,3,0
40,41,10,0,0
103,87,94,16,0
87,69,68,4,0
12,11,8,1,0
88,73,90,6,0
42,37,6,0,0
29,22,16,2,0
92,51,24,0,0
28,17,14,1,0
93,63,63,7,0
127,53,112,27,0
100,86,101,15,0
116,80,128,20,0
114,85,160,15,0
92,67,69,15,0
108,80,93,22,0
105,79,98,17,0
98,70,88,11,0
106,77,117,15,0
87,67,75,12,0
95,83,83,12,0
94,73,84,8,0
79,57,65,11,0
89,71,45,6,0
110,69,120,13,0
98,79,80,11,0
108,67,108,14,0
104,88,121,12,0
115,84,137,17,0
99,84,84,11,0
90,70,76,11,0
86,46,21,2,0
100,71,93,11,0
81,58,59,5,0
30,22,10,3,0
40,36,11,0,0
97,103,60,9,0
94,90,128,21,0
36,26,5,0,0
100,65,79,7,0
103,77,106,5,0
99,79,111,16,0
41,31,5,2,0
40,29,7,0,0
46,37,5,0,0
97,78,59,13,0
40,34,16,0,0
98,79,125,11,0
108,66,119,24,0
55,31,14,0,0
111,88,104,18,0
103,76,82,13,0
123,49,107,29,0
35,26,7,3,0
89,66,82,4,0
59,43,20,0,0
84,45,24,2,0
110,75,94,18,0
